Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration"
92.536,0.00,0.00,0.03,-0.43
92.703,0.00,0.00,0.03,-0.43
92.867,0.00,0.00,0.03,-0.43
93.018,0.00,0.00,0.10,-0.43
93.182,0.00,0.00,0.10,-0.22
93.348,0.00,0.00,0.10,-0.22
93.497,0.00,0.00,0.10,-0.22
93.666,0.00,0.00,-0.20,-0.22
93.827,0.00,0.00,-0.20,-0.43
93.992,0.00,0.00,-0.20,-0.43
94.142,0.00,0.00,-0.20,-0.43
94.308,0.00,0.00,0.03,-0.43
94.455,0.00,0.00,0.03,-0.22
94.620,0.00,0.00,0.03,-0.22
94.785,0.00,0.00,0.03,-0.22
94.934,0.00,0.00,-0.21,-0.22
95.069,0.00,0.00,-0.21,0.00
95.235,0.00,0.00,-0.21,0.00
95.415,0.00,0.00,-0.21,0.00
95.596,0.00,0.00,-0.04,0.00
